109-6,117.70653098018259
109-12,148.12301200761755
109-15,129.061829321456
109-20,97.60276075139898
109-21,78.11380708081441
109-32,161.55392031863883
109-46,155.21162215068037
109-47,124.56675851866316
109-2,169.45258860094967
109-3,131.46944257466905
109-1,142.76709538486224
109-22,129.36421474312755
109-23,105.38768266867201
109-41,156.1284262257271
109-42,166.24788747631237
109-43,107.20799205617823
109-24,127.6502001712114
109-25,139.98161526319367
109-26,113.23460213522245
109-27,91.41068687211707
109-16,145.90758797079468
109-35,137.6492239530047
109-36,122.13301964780209
109-0,151.33024958568146
109-13,95.35167485450485
109-34,143.87594495097906
109-44,142.48736691271276
109-45,130.24579651824016
109-11,135.57107446883603
109-30,131.94171477643243
109-7,114.59530365647002
109-10,136.54271071229607
109-4,152.80776501695127
109-31,171.8030210377378
109-14,145.34252012980377
109-17,123.11060100487835
109-33,166.34477523860812
109-40,138.60065946910308
109-5,131.29726216711384
109-37,143.5267557207386
