Run,Date,Start time,Efield,Run LED
25171,30/04/2024,??:??,0.0,26081
25474,03/05/2024,??:??,0.0,26081
26078,07/05/2024,??:??,0.0,26081
26084,08/05/2024,10:45,0.0,26081
26116,09/05/2024,21:05,0.0,26114
26141,10/05/2024,13:27,0.0,26139
26145,10/05/2024,14:40,20.0,26139
26147,10/05/2024,14:51,40.0,26139
26149,10/05/2024,15:05,60.0,26139
26152,10/05/2024,15:16,80.0,26139
26154,10/05/2024,15:30,100.0,26139
26161,10/05/2024,16:21,120.0,26156
26163,10/05/2024,16:36,140.0,26156
26165,10/05/2024,16:49,160.0,26156
26167,10/05/2024,17:02,180.0,26156
26254,15/05/2024,18:50,180.0,26253
26265,16/05/2024,10:45,180.0,26261
26320,21/05/2024,14:22,180.0,26315
26365,22/05/2024,15:46,180.0,26360
26381,23/05/2024,13:24,180.0,26376
26440,27/05/2024,14:23,180.0,26376
26491,28/05/2024,19:06,180.0,26376
27947,10/07/2024,11:39,180.0,26376
28209,29/07/2024,??:??,180.0,26376
28210,29/07/2024,??:??,180.0,26376
28211,29/07/2024,??:??,160.0,26376
28212,29/07/2024,??:??,140.0,26376
28213,29/07/2024,??:??,120.0,26376
28215,29/07/2024,??:??,80.0,26376
28216,29/07/2024,??:??,60.0,26376
28217,29/07/2024,??:??,40.0,26376
28218,29/07/2024,??:??,20.0,26376
28219,29/07/2024,??:??,20.0,26376
29180,14/09/2024,13:00,180.0,29177
